TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-06-30,2025-06-30,FO,NSE,IDO,66866,,BANKNIFTY,,2025-08-28,2025-08-28,56400.00,PE,BANKNIFTY25AUG56400PE,688.25,691.00,639.35,691.00,691.00,2179.45,57312.75,1118.85,140,140,5,9987656.00,5,F1,35,,,,,
2025-06-30,2025-06-30,FO,NSE,IDO,67144,,BANKNIFTY,,2025-08-28,2025-08-28,58400.00,PE,BANKNIFTY25AUG58400PE,0.00,0.00,0.00,3327.95,0.00,3327.95,57312.75,2053.60,0,0,0,0.00,0,F1,35,,,,,
2025-06-30,2025-06-30,FO,NSE,IDO,67160,,BANKNIFTY,,2025-08-28,2025-08-28,59100.00,PE,BANKNIFTY25AUG59100PE,0.00,0.00,0.00,3790.65,0.00,3790.65,57312.75,2462.70,0,0,0,0.00,0,F1,35,,,,,
2025-06-30,2025-06-30,FO,NSE,IDO,67298,,BANKNIFTY,,2025-08-28,2025-08-28,59800.00,PE,BANKNIFTY25AUG59800PE,0.00,0.00,0.00,4281.95,0.00,4281.95,57312.75,2911.90,0,0,0,0.00,0,F1,35,,,,,
2025-06-30,2025-06-30,FO,NSE,IDO,67373,,BANKNIFTY,,2025-08-28,2025-08-28,60600.00,PE,BANKNIFTY25AUG60600PE,0.00,0.00,0.00,4879.00,0.00,4879.00,57312.75,3470.80,0,0,0,0.00,0,F1,35,,,,,
2025-06-30,2025-06-30,FO,NSE,IDO,67399,,BANKNIFTY,,2025-08-28,2025-08-28,60900.00,PE,BANKNIFTY25AUG60900PE,0.00,0.00,0.00,5107.75,0.00,5107.75,57312.75,3694.75,0,0,0,0.00,0,F1,35,,,,,
2025-06-30,2025-06-30,FO,NSE,IDO,67418,,BANKNIFTY,,2025-08-28,2025-08-28,61500.00,PE,BANKNIFTY25AUG61500PE,0.00,0.00,0.00,5582.00,0.00,5582.00,57312.75,4152.80,0,0,0,0.00,0,F1,35,,,,,
2025-06-30,2025-06-30,FO,NSE,IDO,54598,,BANKNIFTY,,2025-09-25,2025-09-25,52800.00,PE,BANKNIFTY25SEP52800PE,0.00,0.00,0.00,456.60,0.00,456.60,57312.75,413.20,0,0,0,0.00,0,F1,35,,,,,
2025-06-30,2025-06-30,FO,NSE,IDO,63111,,BANKNIFTY,,2025-09-25,2025-09-25,54000.00,PE,BANKNIFTY25SEP54000PE,346.00,360.00,335.05,349.30,357.10,357.70,57312.75,349.30,36310,1605,233,443219498.75,149,F1,35,,,,,
2025-06-30,2025-06-30,FO,NSE,IDO,57775,,BANKNIFTY,,2026-06-30,2026-06-30,64500.00,PE,BANKNIFTY26JUN64500PE,0.00,0.00,0.00,6493.65,0.00,6493.65,57312.75,6403.75,0,0,0,0.00,0,F1,35,,,,,
