INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,25-Jan-2023,0,XX,43595.2,43710,43031,43136.15,43136.15,178527,1932529.69,2344800,51150,04-JAN-2023,
FUTIDX,BANKNIFTY,23-Feb-2023,0,XX,43780.45,43879.8,43220,43321.8,43321.8,6476,70385.23,212250,14050,04-JAN-2023,
FUTIDX,BANKNIFTY,29-Mar-2023,0,XX,43989.85,44021,43380.2,43464.6,43464.6,1764,19234.74,18225,3925,04-JAN-2023,
FUTIDX,NIFTY,25-Jan-2023,0,XX,18299,18303.3,18083.2,18103.05,18103.05,211764,1923511.25,11165400,192650,04-JAN-2023,
FUTIDX,NIFTY,23-Feb-2023,0,XX,18381.7,18381.7,18155.3,18169.4,18169.4,14570,132802.39,1261750,233150,04-JAN-2023,
FUTIDX,NIFTY,29-Mar-2023,0,XX,18438.9,18447.75,18241,18252.2,18252.2,2744,25125.52,122750,12450,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,36500,CE,0,0,0,6350,6465.5,0,0,25,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,37000,CE,0,0,0,6526.8,5965.6,0,0,0,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,37500,CE,0,0,0,6046.5,5465.7,0,0,0,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,38000,CE,5004.75,5004.75,5004.75,5004.75,4965.8,2,21.5,400,25,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,38500,CE,0,0,0,4150,4465.9,0,0,25,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,39000,CE,0,0,0,4000,3965.95,0,0,925,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,39500,CE,3650,3650,3650,3650,3466.05,1,10.78,475,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,39700,CE,0,0,0,4042.8,3266.1,0,0,0,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,39800,CE,0,0,0,3957.9,3166.1,0,0,0,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,39900,CE,0,0,0,3873.75,3066.15,0,0,0,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,40000,CE,3260,3260,3000,3023,2966.15,42,452.74,4150,-600,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,40100,CE,0,0,0,2900,2866.15,0,0,150,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,40200,CE,0,0,0,1970.6,2766.2,0,0,0,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,40300,CE,0,0,0,2887.95,2666.2,0,0,50,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,40400,CE,0,0,0,2426.7,2566.2,0,0,75,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,40500,CE,2732,2788,2447.75,2447.75,2447.75,28,301.95,2875,-225,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,40600,CE,2601.25,2666.4,2601.25,2666.4,2366.25,2,21.61,50,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,40700,CE,0,0,0,2730.35,2266.3,0,0,75,0,04-JAN-2023,
OPTIDX,BANKNIFTY,05-Jan-2023,40800,CE,0,0,0,2170.65,2166.3,0,0,350,0,04-JAN-2023,
