INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,26-Aug-2021,0,XX,36250.25,36274.95,35670,35917.2,35917.2,168315,1511286.17,2047350,-96725,11-AUG-2021,
FUTIDX,BANKNIFTY,30-Sep-2021,0,XX,36336.65,36397.4,35813.75,36050.75,36050.75,4413,39734.24,123000,325,11-AUG-2021,
FUTIDX,BANKNIFTY,28-Oct-2021,0,XX,36521.95,36584.45,35963.55,36191.45,36191.45,1149,10382.79,28225,8650,11-AUG-2021,
FUTIDX,NIFTY,26-Aug-2021,0,XX,16308,16324.95,16185.65,16283.35,16283.35,145030,1178341.44,12223300,-520000,11-AUG-2021,
FUTIDX,NIFTY,30-Sep-2021,0,XX,16353.55,16363.95,16233.6,16326.75,16326.75,8706,70918.16,1264250,15450,11-AUG-2021,
FUTIDX,NIFTY,28-Oct-2021,0,XX,16383.25,16390.25,16265,16352.9,16352.9,1549,12641.02,155600,1850,11-AUG-2021,
OPTIDX,BANKNIFTY,12-Aug-2021,30400,CE,5820.3,5820.3,5385.95,5385.95,5409.45,2,18,100,0,11-AUG-2021,
OPTIDX,BANKNIFTY,12-Aug-2021,30500,CE,0,0,0,5192.15,5309.45,0,0,25,0,11-AUG-2021,
OPTIDX,BANKNIFTY,12-Aug-2021,30600,CE,0,0,0,4711.7,5209.5,0,0,0,0,11-AUG-2021,
OPTIDX,BANKNIFTY,12-Aug-2021,30700,CE,0,0,0,4634.2,5109.5,0,0,0,0,11-AUG-2021,
OPTIDX,BANKNIFTY,12-Aug-2021,30800,CE,0,0,0,4557.3,5009.5,0,0,0,0,11-AUG-2021,
OPTIDX,BANKNIFTY,12-Aug-2021,30900,CE,0,0,0,4481.05,4909.5,0,0,0,0,11-AUG-2021,
OPTIDX,BANKNIFTY,12-Aug-2021,31000,CE,0,0,0,3751.1,4809.5,0,0,25,0,11-AUG-2021,
OPTIDX,BANKNIFTY,12-Aug-2021,31100,CE,0,0,0,4874.8,4709.55,0,0,0,0,11-AUG-2021,
OPTIDX,BANKNIFTY,12-Aug-2021,31200,CE,0,0,0,4799.3,4609.55,0,0,0,0,11-AUG-2021,
OPTIDX,BANKNIFTY,12-Aug-2021,31300,CE,0,0,0,4724.4,4509.55,0,0,0,0,11-AUG-2021,
OPTIDX,BANKNIFTY,12-Aug-2021,31400,CE,0,0,0,4651.4,4409.55,0,0,0,0,11-AUG-2021,
OPTIDX,BANKNIFTY,12-Aug-2021,31500,CE,0,0,0,4442.1,4309.55,0,0,50,0,11-AUG-2021,
