INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTIDX,NIFTY,27-May-2021,16700.0000000,CE,2.9000000,2.9000000,1.7500000,2.4000000,2.4000000,197.0000000,2467.7700000,38100.0000000,225.0000000,12-May-2021
OPTIDX,NIFTY,03-Jun-2021,12900.0000000,CE,0.0000000,0.0000000,0.0000000,1592.4500000,1833.6000000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,BANKNIFTY,29-Jul-2021,37600.0000000,PE,0.0000000,0.0000000,0.0000000,4955.1000000,5671.7500000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,BANKNIFTY,24-Jun-2021,35200.0000000,CE,0.0000000,0.0000000,0.0000000,1899.2000000,820.8500000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,BANKNIFTY,17-Jun-2021,29400.0000000,PE,0.0000000,0.0000000,0.0000000,930.1500000,445.1000000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,BANKNIFTY,20-May-2021,36800.0000000,CE,0.0000000,0.0000000,0.0000000,1258.0500000,12.3000000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,BANKNIFTY,20-May-2021,36000.0000000,PE,3344.0000000,3459.3000000,3251.1000000,3459.3000000,3459.3000000,15.0000000,147.2800000,350.0000000,325.0000000,12-May-2021
OPTIDX,BANKNIFTY,24-Jun-2021,38000.0000000,CE,109.3000000,109.3000000,87.0500000,90.1500000,90.1500000,1352.0000000,12875.2100000,55075.0000000,22050.0000000,12-May-2021
OPTIDX,BANKNIFTY,30-Dec-2021,28000.0000000,CE,0.0000000,0.0000000,0.0000000,7951.2000000,6850.8000000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,NIFTY,01-Jul-2021,13050.0000000,CE,0.0000000,0.0000000,0.0000000,1633.9500000,1790.8500000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,BANKNIFTY,24-Jun-2021,29000.0000000,PE,216.2500000,262.0000000,205.9500000,237.5000000,237.5000000,779.0000000,5691.8700000,26425.0000000,3850.0000000,12-May-2021
OPTIDX,NIFTY,24-Jun-2021,14150.0000000,PE,146.5000000,176.0500000,146.5000000,169.3500000,169.3500000,16.0000000,171.7500000,1950.0000000,750.0000000,12-May-2021
OPTIDX,BANKNIFTY,17-Jun-2021,35700.0000000,PE,0.0000000,0.0000000,0.0000000,3729.9000000,3686.0000000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,NIFTY,12-May-2021,15900.0000000,PE,0.0000000,0.0000000,0.0000000,1050.6500000,14696.5000000,0.0000000,0.0000000,225.0000000,0.0000000,12-May-2021
OPTIDX,NIFTY,20-May-2021,14050.0000000,PE,14.0000000,20.7500000,11.9500000,16.3500000,16.3500000,4105.0000000,43305.4200000,71775.0000000,62700.0000000,12-May-2021
OPTIDX,BANKNIFTY,10-Jun-2021,28600.0000000,PE,0.0000000,0.0000000,0.0000000,947.3500000,210.0000000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,BANKNIFTY,29-Jul-2021,30400.0000000,CE,0.0000000,0.0000000,0.0000000,4752.5000000,3616.9500000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,NIFTY,10-Jun-2021,15900.0000000,CE,0.0000000,0.0000000,0.0000000,346.8000000,104.1000000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,NIFTY,26-Jun-2025,17500.0000000,PE,0.0000000,0.0000000,0.0000000,3586.8000000,3423.7500000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,BANKNIFTY,30-Sep-2021,38000.0000000,CE,0.0000000,0.0000000,0.0000000,2826.1000000,1493.4500000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,BANKNIFTY,10-Jun-2021,35100.0000000,PE,0.0000000,0.0000000,0.0000000,3451.1500000,3110.4000000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,NIFTY,29-Jul-2021,14950.0000000,PE,0.0000000,0.0000000,0.0000000,787.3000000,820.0500000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,BANKNIFTY,20-May-2021,35300.0000000,PE,0.0000000,0.0000000,0.0000000,2977.0500000,2890.1500000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,NIFTY,01-Jul-2021,15050.0000000,CE,0.0000000,0.0000000,0.0000000,487.0500000,476.4000000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,NIFTY,29-Jul-2021,15550.0000000,CE,0.0000000,0.0000000,0.0000000,615.3500000,456.2500000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,BANKNIFTY,17-Jun-2021,35100.0000000,PE,0.0000000,0.0000000,0.0000000,3899.9000000,3226.6500000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,NIFTY,17-Jun-2021,16050.0000000,PE,0.0000000,0.0000000,0.0000000,1597.5000000,1410.8500000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,BANKNIFTY,17-Jun-2021,34000.0000000,PE,0.0000000,0.0000000,0.0000000,3152.8000000,2456.2000000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,NIFTY,30-Jun-2022,12600.0000000,PE,0.0000000,0.0000000,0.0000000,476.9000000,587.6000000,0.0000000,0.0000000,11775.0000000,0.0000000,12-May-2021
OPTIDX,NIFTY,30-Dec-2021,15000.0000000,PE,810.0000000,859.9000000,797.9000000,844.4500000,844.4500000,180.0000000,2137.0500000,236625.0000000,1650.0000000,12-May-2021
OPTIDX,BANKNIFTY,24-Jun-2021,28500.0000000,CE,0.0000000,0.0000000,0.0000000,2739.0000000,4433.0000000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
OPTIDX,NIFTY,24-Dec-2025,16500.0000000,PE,0.0000000,0.0000000,0.0000000,3428.1000000,2934.2000000,0.0000000,0.0000000,0.0000000,0.0000000,12-May-2021
