INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,28-Oct-2021,0,XX,38259,38668,38180,38588.35,38588.35,133562,1283276.67,1615675,84550,12-OCT-2021,
FUTIDX,BANKNIFTY,25-Nov-2021,0,XX,38450,38785,38340,38719.65,38719.65,3111,30004.12,127400,1475,12-OCT-2021,
FUTIDX,BANKNIFTY,30-Dec-2021,0,XX,38546.45,38911.55,38494.85,38852.7,38852.7,911,8825.79,23850,2750,12-OCT-2021,
FUTIDX,NIFTY,28-Oct-2021,0,XX,17919,18015,17862.6,18002.55,18002.55,126413,1133850.66,12601750,121400,12-OCT-2021,
FUTIDX,NIFTY,25-Nov-2021,0,XX,17937.95,18043.5,17899,18030.1,18030.1,8825,79291.77,921800,121250,12-OCT-2021,
FUTIDX,NIFTY,30-Dec-2021,0,XX,17975.6,18088,17940.7,18071.75,18071.75,3161,28459.1,303950,44300,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,31000,CE,0,0,0,4605.45,7527.75,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,31100,CE,0,0,0,4525,7427.75,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,31200,CE,0,0,0,4445.2,7327.8,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,31300,CE,0,0,0,4366.05,7227.8,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,31400,CE,0,0,0,4287.6,7127.8,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,31500,CE,0,0,0,6100.85,7027.85,0,0,25,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,31600,CE,0,0,0,4605.25,6927.85,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,31700,CE,0,0,0,4526.45,6827.9,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,31800,CE,0,0,0,4448.3,6727.9,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,31900,CE,0,0,0,4793.85,6627.9,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,32000,CE,0,0,0,5623.7,6527.95,0,0,25,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,32100,CE,0,0,0,4639.85,6427.95,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,32200,CE,0,0,0,4563.8,6328,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,32300,CE,0,0,0,4488.4,6228,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,32400,CE,0,0,0,4413.65,6128,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,32500,CE,0,0,0,4340.8,6028.05,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,32600,CE,0,0,0,4267.25,5928.05,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,32700,CE,0,0,0,4194.4,5828.1,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,32800,CE,0,0,0,4122.25,5728.1,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,32900,CE,0,0,0,4050.75,5628.1,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,33000,CE,0,0,0,4594.95,5528.15,0,0,25,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,33100,CE,0,0,0,3909.9,5428.15,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,33200,CE,0,0,0,3500,5328.2,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,33300,CE,0,0,0,3770.5,5228.2,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,33400,CE,0,0,0,3702.7,5128.2,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,33500,CE,0,0,0,4348.65,5028.25,0,0,25,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,33600,CE,0,0,0,3569.15,4928.25,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,33700,CE,0,0,0,3503.5,4828.3,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,33800,CE,0,0,0,3438.55,4728.3,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,33900,CE,0,0,0,4016.8,4628.3,0,0,25,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,34000,CE,0,0,0,4250,4528.35,0,0,50,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,34100,CE,0,0,0,3248.15,4428.35,0,0,0,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,34200,CE,0,0,0,4103.1,4328.4,0,0,25,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,34300,CE,0,0,0,4003.2,4228.4,0,0,25,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,34400,CE,3846.4,3846.4,3846.4,3846.4,4128.4,1,9.56,25,25,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,34500,CE,3554.75,4035,3554.15,3981.2,3981.2,70,666.91,1950,1325,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,34600,CE,0,0,0,3708.5,3928.45,0,0,25,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,34700,CE,3562.05,3562.05,3562.05,3562.05,3828.5,1,9.56,25,25,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,34800,CE,0,0,0,3065,3728.5,0,0,50,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,34900,CE,3329.3,3450,3329.3,3450,3628.5,2,19.14,50,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,35000,CE,3340,3500,3336.6,3500,3528.55,7,67.28,2775,-175,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,35100,CE,3201.7,3201.7,3201.7,3201.7,3428.55,4,38.3,125,100,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,35200,CE,3101.85,3205.55,3101.85,3205.45,3328.6,72,690.05,1825,1800,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,35300,CE,0,0,0,2950,3228.65,0,0,50,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,35400,CE,2902.4,2902.4,2902.4,2902.4,3128.7,16,153.2,1125,400,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,35500,CE,3034.05,3034.05,3034.05,3034.05,3034.05,1,9.63,1625,-25,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,35600,CE,2683.65,2683.65,2683.65,2683.65,2928.8,1,9.57,75,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,35700,CE,0,0,0,2500,2828.9,0,0,525,0,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,35800,CE,2550,2550,2550,2550,2729,1,9.58,125,-25,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,35900,CE,2159.1,2623.55,2158.3,2601.7,2601.7,36,343.69,575,200,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,36000,CE,2308,2578,2180,2518.05,2518.05,231,2218.15,14775,-1550,12-OCT-2021,
OPTIDX,BANKNIFTY,14-Oct-2021,36100,CE,2101,2236,2101,2236,2429.8,2,19.13,2050,-25,12-OCT-2021,
