INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTIDX,NIFTY,25-Jun-2026,14000.0000000,CE,0.0000000,0.0000000,0.0000000,5657.5500000,6965.1000000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,18000.0000000,CE,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4493.6000000,2.0000000,22.0000000,350.0000000,100.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,13000.0000000,CE,0.0000000,0.0000000,0.0000000,6127.9500000,7672.3500000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,21000.0000000,CE,0.0000000,0.0000000,0.0000000,3881.9000000,3086.7000000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,20000.0000000,CE,0.0000000,0.0000000,0.0000000,3829.5000000,3511.3500000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,15000.0000000,CE,0.0000000,0.0000000,0.0000000,5184.4000000,6289.3500000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,19000.0000000,CE,0.0000000,0.0000000,0.0000000,4908.3500000,3980.4500000,0.0000000,0.0000000,100.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,12000.0000000,CE,0.0000000,0.0000000,0.0000000,7938.0500000,8405.5000000,0.0000000,0.0000000,50.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,14000.0000000,PE,0.0000000,0.0000000,0.0000000,750.0000000,197.2000000,0.0000000,0.0000000,50.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,20000.0000000,PE,0.0000000,0.0000000,0.0000000,3159.7500000,1459.0000000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,21000.0000000,PE,0.0000000,0.0000000,0.0000000,3065.6000000,1820.2500000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,17000.0000000,CE,0.0000000,0.0000000,0.0000000,4348.2500000,5050.8500000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,23000.0000000,PE,0.0000000,0.0000000,0.0000000,4171.7500000,2667.3000000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,12000.0000000,PE,0.0000000,0.0000000,0.0000000,365.7500000,65.7500000,0.0000000,0.0000000,400.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,19000.0000000,PE,0.0000000,0.0000000,0.0000000,3216.7000000,1142.2000000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,16000.0000000,CE,0.0000000,0.0000000,0.0000000,4748.3000000,5649.8500000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,17000.0000000,PE,0.0000000,0.0000000,0.0000000,2627.2500000,640.7000000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,23000.0000000,CE,0.0000000,0.0000000,0.0000000,2645.6500000,2361.8500000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,13000.0000000,PE,0.0000000,0.0000000,0.0000000,300.0000000,118.5000000,0.0000000,0.0000000,200.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,22000.0000000,CE,0.0000000,0.0000000,0.0000000,2722.5500000,2704.1500000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,16000.0000000,PE,0.0000000,0.0000000,0.0000000,1400.0000000,453.8000000,0.0000000,0.0000000,100.0000000,0.0000000,13-Feb-2023
OPTIDX,NIFTY,25-Jun-2026,22000.0000000,PE,0.0000000,0.0000000,0.0000000,3829.5000000,2223.7000000,0.0000000,0.0000000,0.0000000,0.0000000,13-Feb-2023
