INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,29-Mar-2023,0,XX,39735.7,39949.8,39314.85,39643.4,39643.4,214209,2121535.04,2829225,204050,14-MAR-2023,
FUTIDX,BANKNIFTY,27-Apr-2023,0,XX,39945.95,40173.85,39547.65,39871.65,39871.65,33754,335934.48,1541075,12875,14-MAR-2023,
FUTIDX,BANKNIFTY,25-May-2023,0,XX,40069,40270,39671.7,39987.75,39987.75,15014,149887,1271900,1800,14-MAR-2023,
FUTIDX,NIFTY,29-Mar-2023,0,XX,17190,17278,17071.1,17125.75,17125.75,266253,2283880.71,12354550,731250,14-MAR-2023,
FUTIDX,NIFTY,27-Apr-2023,0,XX,17305.85,17380,17172.9,17226.15,17226.15,29859,257711.26,1729450,9050,14-MAR-2023,
FUTIDX,NIFTY,25-May-2023,0,XX,17395.7,17441,17244,17298.1,17298.1,7497,64935.8,877500,25500,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,34500,CE,0,0,0,7298.05,4924.95,0,0,0,0,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,35000,CE,0,0,0,6806.5,4425.15,0,0,0,0,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,35500,CE,0,0,0,6317.9,3925.35,0,0,0,0,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,36000,CE,0,0,0,3609.55,3425.55,0,0,50,0,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,36500,CE,0,0,0,3317.8,2925.75,0,0,25,0,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,37000,CE,0,0,0,3509,2426,0,0,100,0,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,37500,CE,2071.25,2273.85,1656.05,2020,2020,244,2409.72,2300,2125,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,37600,CE,0,0,0,4335.65,1827.25,0,0,0,0,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,37700,CE,1986.1,1986.15,1600.9,1791,1791,114,1127.42,425,425,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,37800,CE,1721.05,2013.3,1444.45,1798.2,1798.2,83,816.93,875,875,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,37900,CE,1567.9,1925.45,1411,1587.6,1587.6,47,465.1,500,500,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,38000,CE,1626.65,1828,1235,1502.95,1502.95,6468,63842.28,19125,13375,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,38100,CE,1479.4,1736.35,1170.9,1437.15,1437.15,508,5023.26,3375,3200,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,38200,CE,1501.05,1658.25,1045.6,1316.95,1316.95,410,4045.61,2750,2225,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,38300,CE,1314.75,1398.5,971.6,1226.5,1226.5,888,8751.46,4450,4425,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,38400,CE,1090.65,1440.35,883.2,1101.4,1101.4,799,7887.02,7925,7725,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,38500,CE,1163.35,1362.95,785.05,1045.5,1045.5,25544,252190.56,34950,15150,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,38600,CE,1008.45,1267,698.55,955.75,955.75,4533,44736.09,9025,50,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,38700,CE,990,1174.8,616.5,871.95,871.95,8554,84455.81,22725,15150,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,38800,CE,899.2,1087.6,540.8,779.55,779.55,40466,399568.73,41350,34200,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,38900,CE,816.65,995.6,468.6,693.05,693.05,61887,611710.52,26100,20600,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,39000,CE,721.1,904.9,401,615.6,615.6,529958,5242179.68,236200,125175,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,39100,CE,652.05,820.05,339.25,540,540,404535,4002945.16,124325,107100,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,39200,CE,560.2,735,283.6,469.2,469.2,1135930,11249989.09,243825,209075,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,39300,CE,516.45,656.3,233.15,401.5,401.5,1929348,19131395.99,339925,292425,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,39400,CE,400,581.95,190.6,337.8,337.8,2597208,25795196.21,741775,639250,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,39500,CE,420,507.2,153.6,285.2,285.2,4948596,49225481.93,2540325,1915375,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,39600,CE,370,440.35,124,236.9,236.9,3069000,30575950.98,1117150,418975,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,39700,CE,279.25,381.35,99.55,193.35,193.35,2922114,29154716.38,818575,111375,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,39800,CE,277.05,321.55,80,155.85,155.85,2405727,24040240.52,1412600,615425,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,39900,CE,219.95,270,65.6,125.65,125.65,1649787,16514768.14,768450,205475,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,40000,CE,165.1,225,53.6,101.45,101.45,4158341,41696117.42,2900400,321650,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,40100,CE,154.9,200,43.8,82.15,82.15,1954116,19633073.59,809700,59175,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,40200,CE,96.5,160,36.8,66.1,66.1,2112306,21266859.01,1148275,-288600,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,40300,CE,78.65,128.65,31.05,53.5,53.5,1412731,14254687.99,1213675,86400,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,40400,CE,95,110,26.6,43.3,43.3,1735128,17546132.83,1505275,29575,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,40500,CE,55,86.5,23.2,35.65,35.65,2340764,23724195.22,3929325,-207550,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,40600,CE,70,71.95,20.45,29.2,29.2,1077247,10943350.73,2100100,-217975,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,40700,CE,48.2,60,18.1,24.05,24.05,915728,9324234.91,1865025,-146225,14-MAR-2023,
OPTIDX,BANKNIFTY,16-Mar-2023,40800,CE,46,56,16.4,20.15,20.15,802064,8186076.4,1576350,-32325,14-MAR-2023,
