INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,30-Dec-2021,0,XX,37000.05,37218,36901,36948.9,36948.9,100841,933902.63,2262950,24950,15-DEC-2021,
FUTIDX,BANKNIFTY,27-Jan-2022,0,XX,37178.4,37355.8,37060,37096.25,37096.25,3545,32959.55,143675,9525,15-DEC-2021,
FUTIDX,BANKNIFTY,24-Feb-2022,0,XX,37354.9,37485,37200,37239.25,37239.25,687,6410.63,37650,775,15-DEC-2021,
FUTIDX,NIFTY,30-Dec-2021,0,XX,17325,17379.5,17217,17260.8,17260.8,160456,1386600.64,11986800,148700,15-DEC-2021,
FUTIDX,NIFTY,27-Jan-2022,0,XX,17398.5,17437.45,17280,17319.15,17319.15,9126,79111.04,1019150,54850,15-DEC-2021,
FUTIDX,NIFTY,24-Feb-2022,0,XX,17448,17470,17322.9,17359.75,17359.75,1651,14345.76,150400,5600,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,31700,CE,0,0,0,5272.85,5092.9,0,0,225,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,31800,CE,0,0,0,3983.5,4992.9,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,31900,CE,0,0,0,3888.1,4892.9,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32000,CE,0,0,0,4127.05,4792.9,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32100,CE,0,0,0,4032.1,4692.95,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32200,CE,0,0,0,3937.7,4592.95,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32300,CE,0,0,0,4424.65,4492.95,0,0,25,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32400,CE,0,0,0,3750.3,4392.95,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32500,CE,4428.45,4428.45,4428.45,4428.45,4292.95,1,9.23,25,-25,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32600,CE,0,0,0,3565.2,4193,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32700,CE,0,0,0,3473.6,4093,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32800,CE,4117.55,4117.55,4117.55,4117.55,4117.55,1,9.22,25,25,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32900,CE,0,0,0,4246.25,3893,0,0,50,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33000,CE,3888.9,3888.9,3888.9,3888.9,3888.9,1,9.22,50,25,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33100,CE,0,0,0,3735.75,3693.05,0,0,50,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33200,CE,3721.65,3721.65,3721.65,3721.65,3593.05,1,9.23,25,25,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33300,CE,0,0,0,3344.75,3493.05,0,0,25,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33400,CE,0,0,0,3248.7,3393.05,0,0,25,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33500,CE,0,0,0,3676.85,3293.1,0,0,75,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33600,CE,0,0,0,3050.4,3193.1,0,0,75,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33700,CE,3201,3201,3201,3201,3093.1,8,73.8,25,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33800,CE,0,0,0,3696.1,2993.1,0,0,150,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33900,CE,0,0,0,3455.3,2893.1,0,0,25,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34000,CE,2916.3,3097.7,2789.9,2803.45,2803.45,10,92.2,450,75,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34100,CE,0,0,0,3072.55,2693.15,0,0,50,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34200,CE,2723,2723,2723,2723,2593.15,1,9.23,25,25,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34300,CE,0,0,0,1694.5,2493.15,0,0,25,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34400,CE,0,0,0,1913.2,2393.15,0,0,25,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34500,CE,2428,2524.75,2344.4,2344.65,2344.65,19,175.53,1275,-150,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34600,CE,0,0,0,2623.35,2193.2,0,0,50,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34700,CE,0,0,0,1909.3,2093.25,0,0,75,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34800,CE,0,0,0,2019.9,1993.25,0,0,325,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34900,CE,0,0,0,2000,1893.3,0,0,50,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35000,CE,2003.2,2040,1822.4,1840.7,1840.7,161,1486.71,5075,75,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35100,CE,1805.35,1878.4,1805.35,1878.4,1693.6,3,27.7,400,-25,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35200,CE,1762.4,1762.4,1712.95,1712.95,1593.9,2,18.46,350,-25,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35300,CE,1610.55,1731.45,1530.6,1530.6,1530.6,10,92.28,675,175,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35400,CE,1517.4,1517.4,1509.1,1509.1,1395.15,7,64.59,1350,-25,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35500,CE,1542.35,1572,1325,1341.05,1341.05,201,1855.56,6225,-625,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35600,CE,1382.45,1441.85,1311.85,1382.65,1198.25,23,212.59,875,125,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35700,CE,1274.6,1396.35,1125.7,1232.65,1101.05,98,905.05,1575,475,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35800,CE,1205,1256.45,1025,1054.05,1054.05,619,5715.32,6750,-375,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35900,CE,1198.9,1208.75,932.65,957.85,957.85,601,5554.9,5250,1825,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,36000,CE,965.45,1125.95,835,863.8,863.8,17207,158998.99,73875,-16725,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,36100,CE,876,1020.6,742.1,774.15,774.15,3748,34660.25,10275,-2600,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,36200,CE,772.95,930,650.3,679.8,679.8,4997,46179.18,21950,1950,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,36300,CE,687.95,838.35,570.55,597.45,597.45,6452,59656.6,29300,-3725,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,36400,CE,605.85,749.4,479.05,513.75,513.75,24368,225385.54,48950,-13025,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,36500,CE,470,659.1,410,440.55,440.55,258044,2388111.4,284175,-17575,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,36600,CE,458.55,574.7,340,368.55,368.55,179840,1665418.51,164450,33250,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,36700,CE,385,495,281,305.4,305.4,399587,3703405.27,258450,41675,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,36800,CE,300,420,222,248.25,248.25,1025148,9509759.97,483750,48450,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,36900,CE,273,350,172.05,198.05,198.05,1477453,13722484.91,743000,268550,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,37000,CE,223,289,132,154.75,154.75,2800623,26047672.62,2468450,626350,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,37100,CE,202.85,235,101,120.85,120.85,1328772,12377766.39,859925,180025,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,37200,CE,179,189.4,73.25,92.4,92.4,1110954,10366235.93,1246800,232675,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,37300,CE,121,150.7,58,69.55,69.55,910211,8509107.17,1099500,297650,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,37400,CE,97.9,118.25,43,52.75,52.75,702156,6577656.96,1006575,211075,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,37500,CE,69.8,91.75,33.05,40.1,40.1,1316900,12363620.04,2338250,356725,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,37600,CE,49.75,71.15,25,30.5,30.5,571669,5379452.45,1001950,-13525,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,37700,CE,41.45,54.8,18,23.15,23.15,491036,4631778.59,861625,-75700,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,37800,CE,35,43.6,15,18.1,18.1,498383,4712644.44,1000350,67925,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,37900,CE,37,37,12.4,14.55,14.55,320059,3034045.48,573700,-13275,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,38000,CE,24,26.8,10.15,12.15,12.15,687625,6535015.42,2048225,364975,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,38100,CE,13.55,21.65,8.55,10.3,10.3,238764,2274951.33,389550,31525,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,38200,CE,16.95,17.8,7.45,9,9,199192,1902792.1,584250,30475,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,38300,CE,12.95,14.95,6.45,8.15,8.15,154427,1478981.99,304275,-7750,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,38400,CE,13,13,5.7,7.55,7.55,111305,1068749.16,204225,-29650,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,38500,CE,10.8,11.3,5.3,7.25,7.25,472129,4545113.83,2133025,386150,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,38600,CE,9.45,9.95,4.7,6.65,6.65,75298,726750.17,226050,18225,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,38700,CE,8.85,8.9,4.25,6.25,6.25,52529,508297.86,185125,-5800,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,38800,CE,6,7.75,4.05,5.75,5.75,65433,634792.86,259850,-31675,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,38900,CE,6.9,7.2,3.75,5.4,5.4,59836,581983.39,157425,-6925,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,39000,CE,5.6,6.35,3.55,5.05,5.05,299343,2918961.3,1587375,89125,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,39100,CE,5.75,6.15,3.05,4.85,4.85,34948,341657.04,114950,-35750,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,39200,CE,4.95,6,3.05,4.5,4.5,29530,289426.59,96200,-36675,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,39300,CE,4.55,5.8,2.9,4.6,4.6,24263,238410.02,88550,975,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,39400,CE,4.4,5.6,2.6,4.45,4.45,17875,176086.86,52825,-40550,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,39500,CE,4.05,4.95,2.4,4.15,4.15,149922,1480618.08,1048675,-61375,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,39600,CE,3.3,5.1,2.5,4.2,4.2,10278,101761.63,54400,12850,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,39700,CE,4.3,5.15,1.65,4.05,4.05,8288,82265.62,34475,1400,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,39800,CE,4,5.15,2.25,4.35,4.35,11357,113012.4,72575,37150,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,39900,CE,4.1,4.95,2.1,3.8,3.8,8197,81771.9,48475,1425,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,40000,CE,4.1,4.7,1.95,3.7,3.7,165588,1656011.21,1382225,-101175,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,40100,CE,3.25,4.65,2,3.6,3.6,2775,27821.45,18775,-5125,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,40200,CE,3,4.7,1.9,3.7,3.7,3428,34453.9,22325,2700,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,40300,CE,2.75,4.55,1.7,3.5,3.5,2691,27113.64,16075,-5275,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,40400,CE,2.7,4.25,1.4,3.2,3.2,3420,34544.2,36925,-775,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,40500,CE,2.8,4.15,1.4,2.95,2.95,62701,634886.9,451900,4400,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,40600,CE,2.75,4.25,1.4,3.15,3.15,1269,12881.12,10725,-1275,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,40700,CE,1.95,3.95,1.5,3.25,3.25,1250,12719.53,8050,-1325,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,40800,CE,1.25,4.6,1.15,3.15,3.15,1233,12577.31,14200,850,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,40900,CE,1.65,4.4,1.4,2.9,2.9,549,5613.84,1950,-300,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,41000,CE,2.5,3.7,1.35,2.65,2.65,54526,558922.38,264275,14500,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,41100,CE,2.05,4.2,1.4,3,3,295,3031.28,1500,-750,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,41200,CE,1.9,5.55,1.2,2.65,2.65,749,7715.07,2950,-2825,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,41300,CE,2.05,3.75,1.35,2.45,2.45,80,826.04,825,-25,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,41400,CE,2.75,3.4,1.25,2.45,2.45,176,1821.69,1675,-50,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,41500,CE,2.15,3.9,1.3,2.45,2.45,14260,147954.78,43650,-7150,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,41600,CE,2.4,4.5,1.2,4.25,4.25,52,540.83,725,100,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,41700,CE,2.3,3.4,1.2,2.9,2.9,39,406.59,450,150,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,41800,CE,2.05,4.75,1.3,3.45,3.45,89,930.09,200,-275,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,41900,CE,2.45,3.55,1.2,3.2,3.2,76,796.14,700,-75,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,42000,CE,1.6,3,1.2,2.15,2.15,31743,333316.25,167100,-16975,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,42100,CE,1.85,2.9,1.25,1.85,1.85,300,3157.64,1300,900,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,42200,CE,1.9,4.4,1.3,2.45,2.45,78,822.94,175,75,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,42300,CE,2.2,3.45,1.05,2.75,2.75,120,1269.05,475,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,42400,CE,2.65,4.35,1.2,2.35,2.35,31,328.61,1325,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,42500,CE,1.2,3.5,1.15,2.15,2.15,11270,119749.01,38300,8125,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,42600,CE,0,0,0,989.65,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,42700,CE,0,0,0,963.25,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,42800,CE,0,0,0,937.45,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,42900,CE,0,0,0,913.95,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,43000,CE,1.85,2.4,1.15,1.75,1.75,22384,240637.62,130975,-4275,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,43100,CE,0,0,0,865.35,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,43200,CE,0,0,0,841.85,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,43300,CE,0,0,0,818.9,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,43400,CE,0,0,0,875.75,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,43500,CE,1.65,2.6,1.15,1.75,1.75,9322,101380.73,17050,7325,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,43600,CE,0,0,0,828.8,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,43700,CE,3.2,3.2,0.8,2.35,2.35,387,4228.15,650,-175,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,43800,CE,0,0,0,817.45,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,43900,CE,3,3.95,1.3,1.7,1.7,382,4192.61,1800,125,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,44000,CE,1.25,2.7,1.1,1.8,1.8,14354,157900.18,66775,23150,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,44100,CE,0,0,0,776.7,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,44200,CE,0,0,0,754.25,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,44300,CE,0,0,0,732.3,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,44400,CE,0,0,0,930.1,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,44500,CE,1.7,4.55,1.2,2.4,2.4,13695,152364.25,116275,99875,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,44600,CE,0,0,0,880.4,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,44700,CE,0,0,0,855.65,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,44800,CE,0,0,0,831.45,0,0,0,0,0,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,44900,CE,0.7,2.35,0.65,1.8,1.8,700,7857.78,4775,-250,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,45000,CE,1.2,2.25,1.15,1.6,1.6,60619,681988.35,545025,94900,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,45100,CE,1.5,2.15,1.2,1.5,1.5,4445,50119.21,15375,-7975,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,45200,CE,1.45,2.3,1.2,1.55,1.55,50238,567709.6,203600,-3600,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,31700,PE,3.65,3.65,1.25,1.6,1.6,11394,90302.49,81375,-4100,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,31800,PE,1.9,2.5,1.2,1.75,1.75,645,5128.05,3100,225,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,31900,PE,2.3,2.55,1.2,1.6,1.6,764,6093.28,3825,-400,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32000,PE,2.15,2.45,1.25,1.5,1.5,22645,181169.64,322775,171450,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32100,PE,2.2,2.6,1.25,1.75,1.75,539,4325.74,2950,950,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32200,PE,1.9,2.55,1.15,1.65,1.65,337,2713.01,1725,-2000,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32300,PE,2.4,2.55,1.35,1.75,1.75,550,4441.52,2325,-1825,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32400,PE,2.5,2.6,1.45,1.7,1.7,884,7160.81,2175,850,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32500,PE,2.05,2.75,1.25,1.55,1.55,9146,74315.8,26150,-11450,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32600,PE,2.3,2.75,1.2,1.65,1.65,272,2216.94,1575,1025,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32700,PE,1.8,2.6,1.1,1.55,1.55,727,5943.57,7200,-1900,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32800,PE,2.35,2.7,1.2,1.6,1.6,1272,10431.02,8000,1550,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,32900,PE,2.6,2.7,1.15,1.45,1.45,1047,8612.12,12825,375,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33000,PE,2.25,2.8,1.25,1.45,1.45,34272,282761.73,256350,-46750,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33100,PE,2.65,2.85,1.15,1.6,1.6,920,7613.52,12375,-4075,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33200,PE,2.8,3.05,1.45,1.95,1.95,1215,10085.18,12850,-4050,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33300,PE,2.1,3.1,1.55,1.95,1.95,1098,9141.53,11100,-1050,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33400,PE,2.4,3.1,1.5,1.85,1.85,1630,13611.49,16725,325,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33500,PE,2.9,3.2,1.7,1.9,1.9,40061,335536.73,253700,17750,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33600,PE,3.4,3.5,1.8,2.15,2.15,3076,25840.44,28150,-2125,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33700,PE,3.35,5,1.9,2.3,2.3,3885,32733.88,48150,5900,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33800,PE,3.25,3.75,1.65,2.35,2.35,5414,45752.12,45350,2350,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,33900,PE,3.4,3.9,2.05,2.35,2.35,5202,44090.83,45050,1925,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34000,PE,3.2,3.95,2,2.25,2.25,114009,969160.21,1097925,-53500,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34100,PE,3.5,4.35,2.25,2.7,2.7,9016,76868.71,54175,2700,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34200,PE,3.8,4.6,2.45,2.9,2.9,10038,85833.55,63175,-650,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34300,PE,4.55,4.75,2.65,3.1,3.1,21311,182761.27,88700,-45200,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34400,PE,4.6,5.2,3,3.4,3.4,18654,160442.99,82925,2425,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34500,PE,4.9,5.4,3,3.5,3.5,166232,1433922.01,860000,45625,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34600,PE,5.8,6,3.4,4.2,4.2,26366,228096.66,132175,26675,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34700,PE,5.75,6.5,3.55,4.6,4.6,33856,293743.22,124425,22000,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34800,PE,6.3,7.1,4.1,4.95,4.95,37678,327849.85,139000,15800,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,34900,PE,6.95,7.75,4.4,5.3,5.3,56030,488943.72,135725,-600,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35000,PE,8.35,8.5,4.5,5.7,5.7,278484,2437173.53,1104050,57125,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35100,PE,7.45,9.3,5.05,6.3,6.3,46678,409678.87,129450,15000,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35200,PE,8.4,10.25,5.5,7,7,61818,544113.74,198675,-93200,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35300,PE,11,11.4,6.05,7.7,7.7,67393,594882.09,250275,17975,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35400,PE,12.6,13.15,6.6,8.55,8.55,89599,793155.16,259025,75425,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35500,PE,13.65,16,7.5,9.95,9.95,380497,3377903.89,968700,141575,15-DEC-2021,
OPTIDX,BANKNIFTY,16-Dec-2021,35600,PE,40.5,40.5,8.35,11.35,11.35,119226,1061460.89,231550,44225,15-DEC-2021,
