INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,30-Sep-2021,0,XX,37020,37855.65,36984.1,37780.2,37780.2,174767,1635128.64,1834675,65575,16-SEP-2021,
FUTIDX,BANKNIFTY,28-Oct-2021,0,XX,37138.8,37975.95,37131,37912.45,37912.45,8129,76394.19,164625,37750,16-SEP-2021,
FUTIDX,BANKNIFTY,25-Nov-2021,0,XX,37315,38109.85,37259.5,38031.15,38031.15,2347,22126.32,30175,9550,16-SEP-2021,
FUTIDX,NIFTY,30-Sep-2021,0,XX,17541,17635,17501,17611.25,17611.25,127742,1121932.72,15207150,22250,16-SEP-2021,
FUTIDX,NIFTY,28-Oct-2021,0,XX,17561.55,17659.85,17533.05,17642,17642,11132,97948.56,1337750,147900,16-SEP-2021,
FUTIDX,NIFTY,25-Nov-2021,0,XX,17595.95,17684,17560.05,17666.7,17666.7,2165,19080.9,203400,14350,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,30400,CE,0,0,0,6051.95,37668.6,0,0,50,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,30500,CE,0,0,0,6285,37668.6,0,0,25,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,30600,CE,0,0,0,4510,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,30700,CE,0,0,0,4432.55,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,30800,CE,0,0,0,4355.75,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,30900,CE,0,0,0,4279.65,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,31000,CE,0,0,0,4204.25,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,31100,CE,0,0,0,4695.1,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,31200,CE,0,0,0,4617.55,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,31300,CE,0,0,0,4540.6,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,31400,CE,0,0,0,4464.3,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,31500,CE,0,0,0,4947.8,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,31600,CE,0,0,0,4313.7,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,31700,CE,0,0,0,4668.95,37668.6,0,0,25,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,31800,CE,0,0,0,4722.4,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,31900,CE,0,0,0,4818.75,37668.6,0,0,0,0,16-SEP-2021,
OPTIDX,BANKNIFTY,16-Sep-2021,32000,CE,0,0,0,4500,37668.6,0,0,200,0,16-SEP-2021,
