INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,25-Nov-2021,0,XX,38150,38562.85,38055,38139.4,38139.4,119304,1142393.29,2011650,-87325,17-NOV-2021,
FUTIDX,BANKNIFTY,30-Dec-2021,0,XX,38400.05,38728,38232.25,38315.75,38315.75,9071,87188.56,396275,50675,17-NOV-2021,
FUTIDX,BANKNIFTY,27-Jan-2022,0,XX,38400,38851,38387.1,38462.25,38462.25,1568,15124.43,32675,2850,17-NOV-2021,
FUTIDX,NIFTY,25-Nov-2021,0,XX,17934,18028.8,17894.35,17909.15,17909.15,118322,1062753.58,9920000,-115550,17-NOV-2021,
FUTIDX,NIFTY,30-Dec-2021,0,XX,18046,18087.7,17955,17970.25,17970.25,12954,116720.57,1670250,265250,17-NOV-2021,
FUTIDX,NIFTY,27-Jan-2022,0,XX,18055.8,18150,18025.05,18041.85,18041.85,1897,17153.15,176150,14950,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,32900,CE,5358.35,5358.35,5358.35,5358.35,5144.9,1,9.56,475,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,33000,CE,0,0,0,5586.1,5044.9,0,0,50,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,33100,CE,0,0,0,4735.15,4944.9,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,33200,CE,0,0,0,4656.45,4844.9,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,33300,CE,0,0,0,4578.4,4744.9,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,33400,CE,0,0,0,4501,4644.95,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,33500,CE,0,0,0,4424.25,4544.95,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,33600,CE,0,0,0,4871.45,4444.95,0,0,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,33700,CE,0,0,0,4753.85,4344.95,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,33800,CE,0,0,0,4676.85,4244.95,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,33900,CE,0,0,0,4600.5,4145,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,34000,CE,0,0,0,4670.1,4045,0,0,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,34100,CE,0,0,0,4449.65,3945,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,34200,CE,0,0,0,4376.6,3845,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,34300,CE,0,0,0,4237.25,3745,0,0,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,34400,CE,0,0,0,4229.5,3645.05,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,34500,CE,0,0,0,4156.95,3545.05,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,34600,CE,0,0,0,4085.1,3445.05,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,34700,CE,0,0,0,4013.9,3345.05,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,34800,CE,0,0,0,3943.45,3245.05,0,0,0,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,34900,CE,0,0,0,3549.5,3145.1,0,0,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,35000,CE,0,0,0,3820,3045.1,0,0,150,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,35100,CE,0,0,0,3175,2945.1,0,0,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,35200,CE,0,0,0,3235.65,2845.1,0,0,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,35300,CE,0,0,0,3201.4,2745.1,0,0,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,35400,CE,0,0,0,3036.85,2645.15,0,0,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,35500,CE,0,0,0,3310.55,2545.15,0,0,250,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,35600,CE,2655.15,2655.15,2655.15,2655.15,2445.15,1,9.56,25,25,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,35700,CE,0,0,0,3164.6,2345.15,0,0,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,35800,CE,0,0,0,2913.1,2245.2,0,0,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,35900,CE,0,0,0,2931,2145.2,0,0,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,36000,CE,2063.4,2480,2063.4,2076.85,2076.85,118,1127.89,1250,250,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,36100,CE,1982.95,1982.95,1982.95,1982.95,1982.95,1,9.52,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,36200,CE,0,0,0,2214.9,1845.45,0,0,275,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,36300,CE,0,0,0,2465.25,1745.65,0,0,50,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,36400,CE,0,0,0,2012.25,1646,0,0,25,0,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,36500,CE,1655,1951.45,1554.6,1581.75,1581.75,69,661.09,1275,-200,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,36600,CE,1552.7,1575.6,1442.55,1485,1485,8,76.19,100,50,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,36700,CE,1464.1,1731.4,1377.25,1377.25,1377.25,20,191.35,475,75,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,36800,CE,1275.95,1620,1256.3,1273.7,1273.7,24,228.95,1000,-25,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,36900,CE,1158.95,1514.2,1158.95,1180.8,1180.8,12,114.49,125,50,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,37000,CE,1050,1491.05,1047.65,1087.1,1087.1,3946,37731.95,29125,20900,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,37100,CE,976.1,1358.25,951.35,991.4,991.4,243,2322.02,2550,1500,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,37200,CE,913.05,1265.55,862.3,898.55,898.55,867,8289.72,2700,1325,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,37300,CE,778.55,1182.05,766.45,802.8,802.8,799,7639.97,2800,1900,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,37400,CE,691.7,1103.65,675,700.75,700.75,2153,20571.31,5300,3775,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,37500,CE,890.4,1011,586.05,617.05,617.05,38290,366003.25,76850,37725,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,37600,CE,599.2,903.45,500.5,530.05,530.05,10905,104222.71,32975,18750,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,37700,CE,524,822.8,419.3,449.1,449.1,39041,373468.8,37150,28025,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,37800,CE,410,733.2,345,374.75,374.75,107501,1028749.35,63850,43775,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,37900,CE,375.95,646.65,277.15,301.6,301.6,155833,1492647.4,82625,43875,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,38000,CE,438,565,217.75,237.1,237.1,1010723,9690194.66,1166200,970500,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,38100,CE,270.3,488.25,169,183.95,183.95,857331,8226376.09,631050,547500,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,38200,CE,300,415,126.2,139.35,139.35,1740708,16726609.56,1331250,1149475,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,38300,CE,258,348,92,101.9,101.9,1621175,15605505.22,1026250,663425,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,38400,CE,180,285,66,73.75,73.75,1385537,13359364.83,1006250,280075,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,38500,CE,144,230,47.65,53.45,53.45,2567658,24796501.92,2440550,-44800,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,38600,CE,117.85,184.25,35.65,39.55,39.55,1045824,10117448.82,1157900,248275,17-NOV-2021,
OPTIDX,BANKNIFTY,18-Nov-2021,38700,CE,110,145.35,27.7,30.75,30.75,1090183,10567855.79,1228675,177850,17-NOV-2021,
