INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,29-Apr-2021,0,XX,31105.25,31337.5,30451.6,31239.7,31239.7,240793,1854799.72,1607000,-236575,19-APR-2021,
FUTIDX,BANKNIFTY,27-May-2021,0,XX,31255.35,31578.4,30580.05,31351.75,31351.75,10378,80244.4,125350,15025,19-APR-2021,
FUTIDX,BANKNIFTY,24-Jun-2021,0,XX,31782.2,31782.2,30650,31408.3,31408.3,1239,9591.47,24125,900,19-APR-2021,
FUTIDX,NIFTY,29-Apr-2021,0,XX,14399,14408.85,14213,14374.15,14374.15,193921,2082010.77,10934700,-782550,19-APR-2021,
FUTIDX,NIFTY,27-May-2021,0,XX,14487,14514,14275.3,14427.2,14427.2,13593,146448.16,920175,68550,19-APR-2021,
FUTIDX,NIFTY,24-Jun-2021,0,XX,14385.05,14498.55,14300,14444.85,14444.85,3396,36667.49,437850,56700,19-APR-2021,
OPTIDX,BANKNIFTY,22-Apr-2021,27800,CE,0,0,0,4222.8,3416.95,0,0,75,0,19-APR-2021,
OPTIDX,BANKNIFTY,22-Apr-2021,27900,CE,0,0,0,2976.75,3317.1,0,0,0,0,19-APR-2021,
OPTIDX,BANKNIFTY,22-Apr-2021,28000,CE,2859.5,3080.4,2468,2973.9,3217.25,71,547.41,575,525,19-APR-2021,
OPTIDX,BANKNIFTY,22-Apr-2021,28100,CE,0,0,0,2792.7,3117.5,0,0,0,0,19-APR-2021,
OPTIDX,BANKNIFTY,22-Apr-2021,28200,CE,0,0,0,2701.95,3017.75,0,0,0,0,19-APR-2021,
OPTIDX,BANKNIFTY,22-Apr-2021,28300,CE,0,0,0,2612.05,2918.15,0,0,0,0,19-APR-2021,
OPTIDX,BANKNIFTY,22-Apr-2021,28400,CE,0,0,0,2523.15,2818.65,0,0,0,0,19-APR-2021,
OPTIDX,BANKNIFTY,22-Apr-2021,28500,CE,2199.95,2547.65,2199.95,2472.4,2719.3,9,69.58,50,25,19-APR-2021,
OPTIDX,BANKNIFTY,22-Apr-2021,28600,CE,2516,2516,2516,2516,2620.15,1,7.77,25,25,19-APR-2021,
OPTIDX,BANKNIFTY,22-Apr-2021,28700,CE,2102,2396.45,2085.95,2396.45,2521.2,4,30.87,25,25,19-APR-2021,
OPTIDX,BANKNIFTY,22-Apr-2021,28800,CE,1830.8,2287.65,1830.8,2287.65,2422.55,3,23.2,50,50,19-APR-2021,
OPTIDX,BANKNIFTY,22-Apr-2021,28900,CE,0,0,0,2095.25,2324.3,0,0,0,0,19-APR-2021,
