INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,24-Feb-2022,0,XX,37600.25,37757.05,37350.1,37432.1,37432.1,137378,1290633.32,984200,-215025,23-FEB-2022,
FUTIDX,BANKNIFTY,31-Mar-2022,0,XX,37700,37874,37477,37554.5,37554.5,56746,534800.65,1277125,312100,23-FEB-2022,
FUTIDX,BANKNIFTY,28-Apr-2022,0,XX,37864.6,38021.05,37641,37722.05,37722.05,2703,25586.31,84100,6525,23-FEB-2022,
FUTIDX,NIFTY,24-Feb-2022,0,XX,17170,17218.65,17043.3,17080.65,17080.65,197062,1688934.66,5689950,-2077250,23-FEB-2022,
FUTIDX,NIFTY,31-Mar-2022,0,XX,17160,17255,17090,17122.85,17122.85,104704,899654.79,6883450,2241650,23-FEB-2022,
FUTIDX,NIFTY,28-Apr-2022,0,XX,17281,17314.95,17151,17180.75,17180.75,5062,43632.55,488050,44000,23-FEB-2022,
OPTIDX,BANKNIFTY,24-Feb-2022,30400,CE,7142.2,7142.2,7142.15,7142.15,6995.45,2,18.77,375,-50,23-FEB-2022,
OPTIDX,BANKNIFTY,24-Feb-2022,30500,CE,7115.35,7343,6844.35,6844.35,6844.35,14,131.39,9300,50,23-FEB-2022,
OPTIDX,BANKNIFTY,24-Feb-2022,30600,CE,0,0,0,4465.6,6795.45,0,0,0,0,23-FEB-2022,
OPTIDX,BANKNIFTY,24-Feb-2022,30700,CE,0,0,0,4385.65,6695.5,0,0,0,0,23-FEB-2022,
OPTIDX,BANKNIFTY,24-Feb-2022,30800,CE,0,0,0,4306.4,6595.5,0,0,0,0,23-FEB-2022,
OPTIDX,BANKNIFTY,24-Feb-2022,30900,CE,0,0,0,4227.85,6495.5,0,0,0,0,23-FEB-2022,
