INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,27-Jul-2023,0,XX,46110,46119.5,45650,45924.2,45924.2,150263,1034093.21,1344105,-368460,25-JUL-2023,
FUTIDX,BANKNIFTY,31-Aug-2023,0,XX,46248.25,46274.7,45841.95,46097.35,46097.35,43631,301396.94,1133550,161175,25-JUL-2023,
FUTIDX,BANKNIFTY,28-Sep-2023,0,XX,46497,46510.25,46091,46342.9,46342.9,3687,25604.13,170910,5820,25-JUL-2023,
FUTIDX,NIFTY,27-Jul-2023,0,XX,19744.1,19744.1,19632,19691.15,19691.15,105261,1036222.48,6703600,-1869000,25-JUL-2023,
FUTIDX,NIFTY,31-Aug-2023,0,XX,19811.1,19845,19757.6,19815.95,19815.95,68147,674964.39,6332850,2208950,25-JUL-2023,
FUTIDX,NIFTY,28-Sep-2023,0,XX,19950.05,19967.8,19883.3,19940.9,19940.9,4558,45428.89,965450,98150,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,36500,CE,9520,9520,9300,9350,9350,41,282.24,5790,-420,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,37000,CE,9044.6,9044.6,8715,8924.9,8924.9,155,1067.22,30795,-1635,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,37500,CE,8599.2,8599.2,8365,8433.05,8433.05,24,165.37,750,-270,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,38000,CE,8000,8000,7701,7710.95,7859.65,69,474.9,13455,-1035,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,38500,CE,7500,7500,7246.3,7246.3,7359.85,12,82.71,1395,-15,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,39000,CE,6993.35,6998.45,6689.75,6945.25,6945.25,92,632.64,10395,-1290,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,39500,CE,6502.95,6510,6190,6418.3,6418.3,32,220.2,3540,-450,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,40000,CE,6014.6,6023.3,5642.35,5940.95,5940.95,546,3756.84,46455,-5235,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,40200,CE,0,0,0,5830.25,5660.5,0,0,255,0,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,40300,CE,0,0,0,4119.3,5560.55,0,0,0,0,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,40400,CE,0,0,0,4046.95,5460.6,0,0,0,0,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,40500,CE,5521.5,5521.5,5171.75,5386.3,5360.6,80,549.95,10620,-930,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,40600,CE,0,0,0,3815,5260.65,0,0,705,0,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,40700,CE,0,0,0,3363.45,5160.7,0,0,375,0,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,40800,CE,0,0,0,3762.55,5060.75,0,0,0,0,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,40900,CE,0,0,0,3388.4,4960.75,0,0,45,0,25-JUL-2023,
OPTIDX,BANKNIFTY,27-Jul-2023,41000,CE,5048.2,5048.2,4681.2,4881.45,4881.45,233,1604.33,21330,-1935,25-JUL-2023,
