INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,29-Jul-2021,0,XX,35050.15,35665.5,35001.1,35488.65,35488.65,142533,1260946.83,1939225,85300,25-JUN-2021,
FUTIDX,BANKNIFTY,26-Aug-2021,0,XX,35151,35806.75,35151,35639.7,35639.7,2870,25491.34,60400,10450,25-JUN-2021,
FUTIDX,BANKNIFTY,30-Sep-2021,0,XX,35291.65,35935.25,35291.6,35768.8,35768.8,450,4007.79,4775,4775,25-JUN-2021,
FUTIDX,NIFTY,29-Jul-2021,0,XX,15852.2,15900,15802.2,15888,15888,108637,861330.47,9612100,289200,25-JUN-2021,
FUTIDX,NIFTY,26-Aug-2021,0,XX,15979.95,15979.95,15851,15936,15936,2892,22999.58,421550,22600,25-JUN-2021,
FUTIDX,NIFTY,30-Sep-2021,0,XX,15931.7,15990,15897.9,15978.05,15978.05,766,6106.01,24800,24800,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,28200,CE,0,0,0,4478.05,7181.7,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,28300,CE,0,0,0,4666.7,7081.75,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,28400,CE,0,0,0,4589.45,6981.8,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,28500,CE,0,0,0,4689.05,6881.85,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,28600,CE,0,0,0,4612.2,6781.9,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,28700,CE,0,0,0,4075.35,6682,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,28800,CE,0,0,0,4096.6,6582.05,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,28900,CE,0,0,0,4027.9,6482.1,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,29000,CE,0,0,0,3958.65,6382.15,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,29100,CE,0,0,0,3891.45,6282.25,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,29200,CE,0,0,0,3824.9,6182.3,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,29300,CE,0,0,0,3759.05,6082.35,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,29400,CE,0,0,0,3693.95,5982.45,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,29500,CE,0,0,0,3629.5,5882.5,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,29600,CE,0,0,0,3565.8,5782.55,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,29700,CE,0,0,0,3502.8,5682.65,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,29800,CE,0,0,0,3440.45,5582.7,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,29900,CE,0,0,0,3378.9,5482.8,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,30000,CE,5155.5,5155.5,5155.5,5155.5,5382.9,1,8.78,50,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,30100,CE,0,0,0,3257.85,5283,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,30200,CE,0,0,0,3198.4,5183.1,0,0,0,0,25-JUN-2021,
OPTIDX,BANKNIFTY,01-Jul-2021,30300,CE,0,0,0,3139.7,5083.25,0,0,0,0,25-JUN-2021,
