INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,26-May-2022,0,XX,34551,35124.9,34410,35056.9,35094.9,140596,1221571.97,434650,-740850,26-MAY-2022,
FUTIDX,BANKNIFTY,30-Jun-2022,0,XX,34600.1,35277.85,34483.4,35165.8,35165.8,157055,1368952.79,2379125,736675,26-MAY-2022,
FUTIDX,BANKNIFTY,28-Jul-2022,0,XX,34749.95,35324,34555.1,35240.25,35240.25,8497,74213.97,176975,29850,26-MAY-2022,
FUTIDX,NIFTY,26-May-2022,0,XX,16091.6,16178.7,15885.1,16159.05,16170.15,245653,1968130.69,3422800,-1298450,26-MAY-2022,
FUTIDX,NIFTY,30-Jun-2022,0,XX,16084.95,16193.3,15891.95,16168.1,16168.1,250999,2015312.21,11280950,2734900,26-MAY-2022,
FUTIDX,NIFTY,28-Jul-2022,0,XX,16122.1,16201.3,15915.9,16183.75,16183.75,30699,245694.68,1486300,864900,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,28900,CE,5830.85,5983.15,5726.85,5983.15,35094.9,40,347.41,225,150,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,29000,CE,5660,6124.6,5403.55,6080.15,35094.9,415,3615.22,22975,200,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,29100,CE,0,0,0,5287.05,35094.9,0,0,25,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,29200,CE,0,0,0,5142.85,35094.9,0,0,0,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,29300,CE,5599.25,5599.25,5599.25,5599.25,35094.9,1,8.72,0,-25,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,29400,CE,0,0,0,4280.7,35094.9,0,0,0,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,29500,CE,0,0,0,4881,35094.9,0,0,175,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,29600,CE,0,0,0,4129.4,35094.9,0,0,0,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,29700,CE,0,0,0,4054.85,35094.9,0,0,0,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,29800,CE,0,0,0,4141.95,35094.9,0,0,0,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,29900,CE,0,0,0,3743.65,35094.9,0,0,50,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,30000,CE,4599.95,5125.7,4464.45,5072.7,35094.9,590,5131.84,30125,-500,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,30100,CE,0,0,0,3828.6,35094.9,0,0,50,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,30200,CE,0,0,0,3693.55,35094.9,0,0,0,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,30300,CE,0,0,0,3366.2,35094.9,0,0,0,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,30400,CE,0,0,0,3280.5,35094.9,0,0,50,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,30500,CE,3981.35,4000,3981.35,4000,35094.9,2,17.24,275,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,30600,CE,0,0,0,4626.25,35094.9,0,0,0,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,30700,CE,0,0,0,2700.85,35094.9,0,0,25,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,30800,CE,0,0,0,2911.15,35094.9,0,0,25,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,30900,CE,0,0,0,2717.5,35094.9,0,0,25,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,31000,CE,3697.95,4113.3,3470.55,3999.8,35094.9,228,1988.42,15650,-325,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,31100,CE,0,0,0,2639.45,35094.9,0,0,25,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,31200,CE,0,0,0,2527.6,35094.9,0,0,25,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,31300,CE,3400,3400,3400,3400,35094.9,1,8.67,50,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,31400,CE,0,0,0,2917.8,35094.9,0,0,125,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,31500,CE,3150.05,3605.3,2946.75,3570.3,35094.9,311,2706.34,2575,-3575,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,31600,CE,0,0,0,1929.45,35094.9,0,0,75,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,31700,CE,2750.95,2750.95,2750,2750,35094.9,2,17.22,50,25,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,31800,CE,0,0,0,2181.5,35094.9,0,0,25,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,31900,CE,0,0,0,2724.15,35094.9,0,0,750,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,32000,CE,2700,3118.5,2429.7,3043.75,35094.9,712,6219,27500,-2925,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,32100,CE,0,0,0,2485,35094.9,0,0,150,0,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,32200,CE,2418.6,2893.65,2244.65,2858.05,35094.9,16,138.53,1475,-275,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,32300,CE,2278.65,2314.8,2161.25,2187.15,35094.9,11,94.97,775,-250,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,32400,CE,2701.95,2708.9,2658.7,2674.35,35094.9,11,96.47,1650,-150,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,32500,CE,2200,2613.9,1929.25,2552.55,35094.9,727,6321.54,20975,-12625,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,32600,CE,1980,2506.35,1845,2482.45,35094.9,16,138.76,5425,-25,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,32700,CE,1950,2394,1758,2363.6,35094.9,59,511.56,4375,-625,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,32800,CE,1859.5,2304.6,1649.55,2282.25,35094.9,65,566.09,7550,25,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,32900,CE,1790,2158.75,1587.2,2158.7,35094.9,25,217.18,8075,-25,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,33000,CE,1625,2124.85,1413.8,2054.45,35094.9,5531,48038.26,95725,-27975,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,33100,CE,1589,2013.15,1351,1956.65,35094.9,295,2558.93,16650,-2425,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,33200,CE,1489.75,1914.25,1222,1840.75,35094.9,1674,14563.46,26700,-20225,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,33300,CE,1276.3,1820.85,1113.65,1776.6,35094.9,3718,32288.01,28275,-31425,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,33400,CE,1198.6,1718.15,1024.15,1663.65,35094.9,2381,20641.07,31850,-8575,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,33500,CE,1048.85,1621.95,914.55,1572.6,35094.9,19272,167068.16,104875,-86200,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,33600,CE,1030.45,1515.55,823,1468.4,35094.9,4065,35265.75,21575,-10275,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,33700,CE,898.7,1415.5,723.3,1373.8,35094.9,5426,46967.3,19700,-27425,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,33800,CE,766.95,1318,628.15,1257.7,35094.9,16834,145877.36,30175,-41950,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,33900,CE,710.05,1219.7,533.6,1156.05,35094.9,17914,155033.73,41725,-30075,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,34000,CE,593.95,1121,442.05,1052.6,35094.9,305267,2642217.11,172750,-711050,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,34100,CE,479.95,1022.95,356.1,954.2,35094.9,156967,1358034.37,59825,-78525,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,34200,CE,395.35,922.75,274.9,849.3,35094.9,406052,3513988.7,63000,-218275,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,34300,CE,322,823.35,200.25,753.3,35094.9,829973,7185351.25,75575,-453700,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,34400,CE,455.55,723,135.65,648.1,35094.9,1588498,13760818.35,124225,-710650,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,34500,CE,222.25,622.85,81.5,544.1,35094.9,4916763,42652600.57,657050,-1571700,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,34600,CE,179.9,525,43.55,445.65,35094.9,4679075,40637766.21,233950,-1281800,26-MAY-2022,
OPTIDX,BANKNIFTY,26-May-2022,34700,CE,150,424.45,21.65,343.25,35094.9,5330317,46388874.02,152225,-1176125,26-MAY-2022,
